1,Eduardo Rodriguez\rodried01,21,MIL,1,0,3,,91,1.000,1.000,.256,1.000,.324,3.000,.376,4.000,.700,1007,.000,1.0,0.1,,2.000,2.000,,1
2,Catfish Hunter\hunteca01,27,OAK,1,0,1,,89,1.000,1.000,.254,1.000,.322,1.000,.373,2.000,.695,479,.000,0.5,0.0,,.000,.000,,1
3,Curt Motton\mottocu01,32,BAL,7,4,2,13.4,93,.250,.333,.258,.429,.327,.833,.380,1.262,.707,250,.888,1.2,0.1,1.500,.667,.500,.0,/D7
4,Buddy Hunter\huntebu01,25,BOS,12,5,3,16.1,98,.500,.429,.266,.636,.336,.571,.391,1.208,.727,235,.917,2.0,0.2,2.000,.571,.143,,/D54
5,Marv Lane\lanema01,23,DET,10,7,2,7.7,98,.200,.250,.266,.400,.336,.625,.391,1.025,.727,179,.739,0.9,0.1,1.000,.625,.375,.0,/79
6,Bob Didier#\didiebo01,24,DET,25,12,6,13.4,98,.455,.455,.266,.520,.336,.500,.391,1.020,.727,183,.888,2.7,0.3,1.167,.182,.045,,/2
7,Dick Allen\allendi01,31,CHW,288,186,59,8.5,97,.339,.316,.264,.394,.333,.612,.388,1.006,.722,176,.775,25.7,2.6,1.055,.448,.296,9.7,3/4D
8,Larry Haney\haneyla01,30,OAK,2,2,0,0.0,89,.500,.500,.254,.500,.322,.500,.373,1.000,.694,190,.000,0.2,0.0,.500,.000,.000,,/2
9,Ron Cash\cashro01,23,DET,46,26,9,9.3,98,.457,.410,.266,.467,.336,.487,.391,.954,.727,163,.801,3.7,0.4,1.000,.205,.077,,/75
10,Bill Madlock\madlobi01,22,TEX,85,52,17,8.8,89,.388,.351,.254,.412,.322,.532,.373,.944,.694,171,.784,7.0,0.7,.962,.286,.182,1.5,5
11,Bob Montgomery\montgbo01,29,BOS,137,94,23,6.6,98,.395,.320,.266,.353,.336,.563,.391,.915,.727,149,.681,7.4,0.7,.859,.297,.242,.0,2
12,Reggie Jackson*\jacksre01,27,OAK,629,409,112,7.4,89,.313,.293,.254,.383,.322,.531,.373,.914,.694,161,.724,45.5,4.5,.953,.404,.237,26.1,*9/D8
13,Reggie Smith#\smithre06,28,BOS,495,311,88,7.6,98,.301,.303,.266,.398,.336,.515,.391,.913,.727,150,.736,30.6,3.1,.935,.376,.213,5.3,8/D3
14,Al Bumbry*\bumbral01,26,BAL,395,253,72,7.6,93,.375,.337,.258,.398,.327,.500,.380,.898,.707,154,.738,24.5,2.5,.908,.295,.163,10.7,79/D8
15,John Mayberry*\maybejo01,24,KCR,638,377,113,8.0,98,.284,.278,.266,.417,.336,.478,.391,.895,.727,146,.756,38.5,3.8,.995,.445,.200,5.4,*3/D
16,Ron Blomberg*\blombro01,24,NYY,338,212,60,7.6,90,.327,.329,.255,.395,.323,.498,.375,.893,.698,155,.736,22.2,2.2,.890,.289,.169,3.4,D3
17,Rod Carew*\carewro01,27,MIN,657,422,113,7.2,97,.375,.350,.264,.411,.334,.471,.388,.881,.722,144,.716,36.3,3.6,.885,.271,.121,10.5,*4
18,Tom Grieve\grievto01,25,TEX,136,94,22,6.3,89,.337,.309,.254,.348,.322,.528,.373,.877,.695,150,.663,7.5,0.8,.831,.285,.220,1.8,798/D
19,Sal Bando\bandosa01,29,OAK,690,448,113,6.8,89,.291,.287,.254,.375,.322,.498,.373,.873,.695,150,.693,40.9,4.1,.876,.353,.211,7.0,*5/D
20,Carl Yastrzemski*\yastrca01,33,BOS,652,413,103,6.7,98,.301,.296,.266,.407,.336,.463,.391,.870,.727,139,.689,33.8,3.4,.879,.365,.167,12.2,357
21,Pat Bourque*\bourqpa01,26,OAK,59,37,9,6.5,89,.188,.190,.254,.390,.322,.476,.373,.866,.694,149,.679,3.9,0.4,1.000,.643,.286,.0,D/3
22,Willie Horton\hortowi01,30,DET,443,301,69,6.2,98,.334,.316,.266,.362,.336,.501,.391,.863,.727,136,.654,18.0,1.8,.779,.234,.185,1.9,7/D9
23,Frank Robinson\robinfr02,37,CAL,630,410,99,6.5,86,.271,.266,.249,.372,.316,.489,.366,.861,.682,151,.676,38.8,3.9,.869,.376,.223,1.9,*D7
24,George Scott\scottge02,29,MIL,673,449,106,6.3,91,.329,.306,.256,.370,.324,.488,.376,.858,.701,144,.667,34.5,3.5,.817,.290,.182,13.1,*3/D
25,Charlie Sands*\sandsch01,25,CAL,38,24,6,6.7,86,.364,.273,.249,.368,.316,.485,.366,.853,.682,149,.689,2.2,0.2,.875,.364,.212,.0,2
26,Amos Otis\otisam01,26,KCR,651,431,103,6.4,98,.290,.300,.266,.368,.336,.484,.391,.851,.727,133,.672,24.9,2.5,.820,.298,.184,17.3,*8D
27,Thurman Munson\munsoth01,26,NYY,576,386,89,6.2,90,.310,.301,.255,.362,.323,.487,.375,.849,.698,142,.657,28.4,2.8,.795,.276,.187,6.7,*2/D
28,Mickey Rivers*\rivermi01,24,CAL,141,91,24,7.1,86,.381,.349,.249,.391,.316,.457,.366,.849,.682,149,.710,7.8,0.8,.830,.209,.109,.0,8
29,Steve Braun*\braunst01,25,MIN,440,273,68,6.7,97,.312,.283,.264,.408,.333,.438,.388,.845,.722,135,.688,21.4,2.2,.871,.363,.155,4.8,5/7D
30,Richie Scheinblum#\scheiri01,30,CAL,268,163,42,6.9,86,.360,.328,.249,.417,.316,.428,.366,.845,.682,149,.701,16.9,1.7,.838,.253,.100,.0,9/D7
31,Jeff Burroughs\burroje01,22,TEX,605,398,95,6.4,89,.279,.279,.254,.355,.322,.487,.373,.842,.694,141,.671,29.2,2.9,.837,.335,.207,.0,*97/3D
32,Eric Soderholm\soderer01,24,MIN,135,86,20,6.2,97,.340,.297,.264,.414,.334,.423,.388,.837,.722,133,.660,6.1,0.6,.810,.306,.126,1.0,5/6
33,Jim Northrup*\northji01,33,DET,447,296,68,6.2,98,.317,.307,.266,.366,.336,.465,.391,.832,.727,128,.656,14.0,1.4,.777,.252,.158,6.0,*978/D
34,Rich Coggins*\coggiri01,22,BAL,426,290,65,6.0,93,.325,.319,.258,.363,.327,.468,.380,.831,.707,134,.645,16.2,1.6,.776,.242,.149,9.9,98/D
35,Gene Tenace\tenacge01,26,OAK,636,408,94,6.2,89,.271,.259,.254,.387,.322,.443,.373,.830,.695,139,.657,32.1,3.2,.858,.382,.184,3.7,*32/D4
36,Norm Cash*\cashno01,38,DET,420,276,63,6.1,98,.278,.262,.266,.357,.336,.471,.391,.828,.727,127,.653,13.6,1.4,.828,.342,.209,1.9,*3/D
37,Dave May*\mayda01,29,MIL,680,462,100,5.8,91,.312,.303,.256,.352,.324,.473,.376,.824,.701,134,.630,25.8,2.6,.754,.239,.170,9.7,*8/D
38,Bobby Murcer*\murcebo01,27,NYY,672,450,100,6.0,90,.311,.304,.255,.357,.323,.464,.375,.821,.698,135,.642,27.0,2.7,.756,.240,.161,9.4,*8
39,Darrell Porter*\porteda02,21,MIL,416,274,61,6.0,91,.291,.254,.256,.363,.324,.457,.376,.820,.701,133,.643,17.2,1.7,.833,.374,.203,7.6,2D
40,Bill Sudakis#\sudakbi01,27,TEX,263,187,36,5.2,89,.268,.255,.254,.320,.322,.494,.373,.814,.695,132,.579,8.9,0.9,.758,.332,.238,.0,53/2D9
41,Frank Ortenzio\ortenfr01,22,KCR,27,18,4,6.0,98,.333,.280,.266,.333,.336,.480,.391,.813,.727,122,.642,0.7,0.1,.778,.280,.200,.0,/3D
42,Dick McAuliffe*\mcauldi01,33,DET,395,257,57,6.0,98,.294,.274,.266,.366,.336,.437,.391,.804,.727,121,.640,10.4,1.0,.769,.294,.163,.0,4/6D
43,Bill Melton\meltobi01,27,CHW,642,434,87,5.4,97,.283,.277,.264,.363,.334,.439,.388,.802,.722,122,.597,17.8,1.8,.753,.296,.163,6.7,*5/D
44,Don Baylor\baylodo01,24,BAL,459,315,65,5.5,93,.298,.286,.258,.357,.327,.437,.380,.794,.707,124,.610,14.0,1.4,.803,.294,.151,16.4,*7/39D
45,Orlando Cepeda\cepedor01,35,BOS,608,422,79,5.0,98,.308,.289,.266,.350,.336,.444,.391,.793,.727,117,.567,12.3,1.2,.707,.242,.155,.0,*D
46,Oscar Gamble*\gamblos01,23,CLE,432,299,60,5.4,95,.251,.267,.262,.329,.331,.464,.385,.793,.716,120,.598,8.4,0.8,.738,.282,.197,5.2,D9/78
47,Boog Powell*\powelbo01,31,BAL,464,294,62,5.7,93,.290,.265,.258,.398,.327,.395,.380,.792,.707,126,.619,18.0,1.8,.804,.354,.130,.0,*3
48,Frank Howard\howarfr01,36,DET,251,182,30,4.4,98,.246,.256,.266,.327,.336,.463,.391,.789,.727,115,.509,3.7,0.4,.703,.308,.207,.0,D/37
49,Merv Rettenmund\retteme01,30,BAL,390,251,56,6.0,93,.272,.262,.258,.378,.327,.411,.380,.789,.707,124,.643,12.9,1.3,.831,.355,.150,9.9,97/8
50,Ike Brown\brownik01,31,DET,91,57,12,5.6,98,.339,.289,.266,.407,.336,.382,.391,.788,.727,119,.618,2.6,0.3,.754,.276,.092,.0,37/5D
51,Paul Schaal\schaapa01,30,KCR,471,308,63,5.5,98,.305,.288,.266,.389,.336,.399,.391,.788,.727,118,.606,12.3,1.2,.748,.268,.111,6.2,*5
52,John Briggs*\briggjo02,29,MIL,580,386,80,5.6,91,.262,.246,.256,.361,.324,.426,.376,.787,.701,125,.611,18.0,1.8,.791,.371,.180,16.4,*7/D9
53,Jim Holt*\holtji01,29,MIN,476,328,63,5.2,97,.308,.297,.264,.341,.334,.442,.388,.783,.722,116,.578,8.6,0.9,.686,.204,.145,.0,739/8
54,Tommy Harper\harpeto01,32,BOS,638,437,91,5.6,98,.311,.281,.266,.351,.336,.422,.391,.774,.727,112,.614,8.9,0.9,.799,.320,.141,25.9,*7/8D
55,Larry Hisle\hislela01,26,MIN,618,419,82,5.2,97,.328,.272,.264,.351,.334,.422,.388,.773,.722,114,.586,10.4,1.0,.737,.281,.150,12.7,*87/9
56,Jim Fregosi\fregoji01,31,TEX,173,120,23,5.2,89,.293,.268,.254,.318,.322,.446,.373,.764,.694,118,.578,3.4,0.4,.701,.248,.178,.0,53/6
