1,Jeff Tam\tamje01,32,TOR,1,0,2,,110,1.000,1.000,.272,1.000,.339,2.000,.436,3.000,.775,654,.000,0.8,0.1,,1.000,1.000,,1
2,Steve Avery*\averyst01,33,DET,1,0,1,,100,1.000,1.000,.259,1.000,.324,1.000,.415,2.000,.739,450,.000,0.5,0.0,,.000,.000,,1
3,R.A. Dickey\dicker.01,28,TEX,1,0,1,,116,1.000,1.000,.280,1.000,.348,1.000,.449,2.000,.797,410,.000,0.5,0.0,,.000,.000,,1
4,Chris George*\georgch02,23,KCR,3,2,1,13.4,113,1.000,1.000,.276,1.000,.343,1.000,.442,2.000,.785,418,.857,0.4,0.0,,.000,.000,,1
5,Chris Latham#\lathach01,30,NYY,2,0,3,,105,1.000,1.000,.266,1.000,.332,1.000,.425,2.000,.756,437,.000,1.0,0.1,,.500,.000,.0,/8D9
6,Mark Hendrickson*\hendrma01,29,TOR,4,4,0,0.0,110,.000,.250,.272,.250,.339,1.000,.436,1.250,.775,203,.000,0.5,0.0,1.000,.750,.750,.0,1
7,Mike Ryan*\ryanmi03,25,MIN,68,43,18,11.2,108,.422,.393,.269,.441,.335,.754,.430,1.195,.766,207,.812,9.7,0.9,1.262,.475,.361,2.9,9/D7
8,Mike Maroth*\marotmi01,25,DET,4,2,1,13.4,101,.500,.500,.260,.667,.324,.500,.415,1.167,.739,226,.857,0.6,0.0,2.000,.500,.000,,1
9,Chris Magruder#\magruch01,26,CLE,30,18,7,10.4,103,.421,.346,.263,.433,.329,.615,.421,1.049,.750,178,.790,3.0,0.3,1.056,.346,.269,.0,/79
10,Carlos Delgado*\delgaca01,31,TOR,705,414,152,9.8,110,.327,.302,.272,.426,.339,.593,.436,1.019,.775,161,.772,57.7,5.3,1.145,.482,.291,.0,*3D
11,David DeJesus*\dejesda01,23,KCR,10,6,2,8.9,113,.400,.286,.276,.444,.343,.571,.441,1.016,.785,159,.740,0.6,0.1,1.200,.429,.286,,/89
12,Manny Ramirez\ramirma02,31,BOS,679,412,141,9.2,111,.334,.325,.274,.427,.341,.587,.438,1.014,.778,159,.749,54.2,5.0,1.084,.436,.262,5.6,*7D
13,Rondell White\whitero02,31,KCR,85,53,18,9.1,113,.338,.347,.276,.400,.343,.613,.441,1.013,.785,156,.747,6.4,0.6,1.059,.347,.267,.0,7/D
14,Jose Lima\limajo01,30,KCR,3,2,1,13.4,113,.500,.500,.276,.500,.343,.500,.442,1.000,.784,159,.857,0.2,0.0,1.000,.000,.000,,1
15,Matt Roney\roneyma01,23,DET,2,1,1,26.7,101,1.000,.500,.260,.500,.324,.500,.415,1.000,.740,175,.955,0.2,0.0,1.000,.000,.000,,1
16,CC Sabathia*\sabatc.01,22,CLE,6,3,2,17.8,103,.600,.500,.263,.500,.329,.500,.421,1.000,.750,171,.910,0.6,0.0,1.000,.000,.000,,1
17,Alex Rodriguez\rodrial01,27,TEX,715,451,148,8.8,116,.305,.298,.280,.396,.348,.600,.449,.995,.797,147,.734,43.8,4.1,1.079,.468,.301,25.0,*6/D
18,Lew Ford\fordle01,26,MIN,83,51,18,9.4,108,.344,.329,.269,.402,.335,.575,.430,.978,.766,154,.760,5.9,0.6,1.060,.384,.247,2.4,8/79D
19,Trot Nixon*\nixontr01,29,BOS,513,315,106,9.0,111,.334,.306,.274,.396,.340,.578,.438,.975,.778,148,.743,32.0,3.0,1.045,.424,.272,7.0,*9/8
20,David Ortiz*\ortizda01,27,BOS,509,330,98,7.9,111,.292,.288,.274,.369,.340,.592,.438,.961,.778,144,.698,28.8,2.7,.988,.433,.304,.0,D3
21,Adam Melhuse#\melhuad01,31,OAK,86,56,17,8.1,106,.340,.299,.267,.372,.333,.584,.427,.957,.759,149,.706,5.5,0.5,.964,.403,.286,.0,2/53
22,Frank Thomas\thomafr04,35,CHW,662,415,126,8.1,109,.265,.267,.270,.390,.337,.562,.432,.952,.769,146,.706,39.7,3.7,1.019,.478,.295,.0,*D3
23,Gary Johnson*\johnsga01,27,ANA,9,6,1,4.5,105,.429,.375,.265,.444,.331,.500,.425,.944,.756,152,.444,0.7,0.1,.667,.125,.125,,/79
24,Jason Giambi*\giambja01,32,NYY,690,416,128,8.2,105,.259,.250,.265,.412,.331,.527,.425,.939,.756,148,.711,45.1,4.2,1.054,.520,.277,3.8,3D
25,Bill Mueller#\muellbi02,32,BOS,600,378,113,8.0,111,.350,.326,.274,.398,.340,.540,.438,.938,.778,140,.700,33.1,3.1,.940,.321,.214,1.9,*54/D6
26,Magglio Ordonez\ordonma01,29,CHW,674,443,121,7.3,109,.321,.317,.270,.380,.337,.546,.432,.926,.769,139,.664,35.1,3.3,.909,.330,.229,13.7,*9/8D
27,Milton Bradley#\bradlmi01,25,CLE,451,278,83,8.0,103,.371,.321,.263,.421,.329,.501,.421,.923,.750,147,.699,30.8,2.9,.982,.377,.180,12.6,8/D
28,Aubrey Huff*\huffau01,26,TBD,706,469,124,7.1,102,.309,.311,.262,.367,.327,.555,.419,.922,.746,145,.651,41.6,3.9,.898,.325,.244,3.8,9D3/5
29,Jorge Posada#\posadjo01,31,NYY,588,367,104,7.6,105,.304,.281,.265,.405,.331,.518,.425,.922,.756,144,.679,35.2,3.3,.964,.426,.237,3.8,*2/D
30,Melvin Mora\morame01,31,BAL,413,249,78,8.4,106,.362,.317,.267,.418,.333,.503,.427,.921,.759,143,.718,24.4,2.3,.983,.337,.186,8.6,7986/43
31,Aaron Miles#\milesaa01,26,CHW,12,8,2,6.7,109,.333,.333,.270,.333,.337,.583,.432,.917,.769,134,.627,0.7,0.1,.875,.250,.250,,/4D
32,Carlos Beltran#\beltrca01,26,KCR,602,380,116,8.2,113,.318,.307,.276,.389,.343,.522,.442,.911,.785,132,.708,24.3,2.3,1.027,.424,.215,31.8,*8/D
33,Vernon Wells\wellsve01,24,TOR,735,493,129,7.0,110,.318,.317,.272,.359,.339,.550,.436,.909,.775,132,.646,30.7,2.9,.876,.299,.233,7.1,*8
34,Dmitri Young#\youngdm01,29,DET,635,416,110,7.1,101,.339,.297,.259,.372,.324,.537,.415,.909,.740,144,.651,36.2,3.4,.903,.345,.240,3.7,D75/3
35,Bret Boone\boonebr01,34,SEA,705,467,123,7.0,102,.316,.294,.262,.366,.327,.535,.419,.902,.746,140,.649,36.3,3.4,.917,.371,.241,22.0,*4
36,Juan Gonzalez\gonzaju03,33,TEX,346,243,57,6.3,116,.312,.294,.280,.329,.348,.572,.449,.901,.797,122,.600,8.6,0.8,.847,.321,.278,1.9,9D
37,Edgar Martinez\martied01,40,SEA,603,376,102,7.2,102,.317,.294,.262,.406,.327,.489,.419,.895,.746,141,.661,35.0,3.2,.924,.378,.195,.0,*D
38,Nick Johnson*\johnsni01,24,NYY,406,247,69,7.5,105,.307,.284,.265,.422,.331,.472,.425,.894,.756,138,.673,22.7,2.1,.963,.414,.188,7.4,3D
39,Brad Fullmer*\fullmbr01,28,ANA,235,152,40,7.0,105,.323,.306,.265,.387,.331,.500,.425,.887,.756,135,.648,10.7,1.0,.874,.325,.194,6.4,D3
40,Garret Anderson*\anderga01,31,ANA,673,459,113,6.6,105,.325,.315,.265,.345,.331,.541,.425,.885,.756,131,.620,27.0,2.5,.833,.279,.226,9.9,*7D
41,Jack Cust*\custja01,24,BAL,84,54,15,7.4,106,.341,.260,.267,.357,.333,.521,.427,.878,.759,129,.671,3.3,0.3,.907,.397,.260,.0,D/7
42,Carl Everett#\evereca01,32,TOT,602,394,101,6.8,112,.294,.287,.275,.366,.343,.510,.441,.876,.783,123,.638,17.4,1.6,.881,.331,.222,12.4,*879/D
43,Greg Myers*\myersgr01,37,TOR,369,248,58,6.2,110,.331,.307,.272,.374,.339,.502,.436,.876,.775,125,.598,12.6,1.2,.812,.298,.195,.0,2D
44,Hank Blalock*\blaloha01,22,TEX,615,419,99,6.3,116,.318,.300,.280,.350,.348,.522,.449,.872,.797,117,.603,12.3,1.2,.817,.298,.222,3.7,*5/4
45,Nomar Garciaparra\garcino01,29,BOS,719,486,121,6.7,111,.294,.301,.274,.345,.340,.524,.438,.870,.778,121,.625,18.4,1.7,.861,.304,.223,22.6,*6
46,Rafael Palmeiro*\palmera01,38,TEX,654,426,108,6.8,116,.240,.260,.280,.359,.348,.508,.449,.867,.797,116,.633,13.1,1.2,.891,.401,.248,3.8,D3
47,Eric Chavez*\chaveer01,25,OAK,654,442,104,6.3,106,.290,.282,.267,.350,.333,.514,.427,.864,.759,126,.601,21.3,2.0,.843,.345,.231,12.5,*5
48,Alfonso Soriano\soriaal01,27,NYY,734,502,123,6.6,105,.310,.290,.265,.338,.331,.525,.425,.863,.756,126,.618,22.3,2.1,.870,.330,.235,36.4,*4
49,Jason Varitek#\varitja01,31,BOS,521,352,82,6.2,111,.300,.273,.274,.351,.340,.512,.438,.863,.778,120,.597,13.8,1.3,.853,.355,.239,5.4,*2/D
