1,Jose Bautista\bautijo02,30,TOR,655,375,149,10.7,102,.309,.302,.263,.447,.328,.608,.416,1.056,.744,182,.822,67.0,6.4,1.224,.571,.306,14.9,*95/D
2,Miguel Cabrera\cabremi01,28,DET,688,405,149,9.9,100,.365,.344,.261,.448,.326,.586,.412,1.033,.738,179,.800,70.5,6.8,1.118,.432,.241,3.8,*3/D
3,Jacoby Ellsbury*\ellsbja01,27,BOS,732,479,139,7.8,103,.336,.321,.264,.376,.330,.552,.418,.928,.747,146,.722,42.2,4.1,.953,.345,.230,35.2,*8/D
4,Adrian Gonzalez*\gonzaad01,29,BOS,715,450,135,8.0,103,.380,.338,.264,.410,.330,.548,.418,.957,.747,155,.734,51.4,5.0,.957,.329,.210,1.9,*3/D9
5,Dustin Pedroia\pedrodu01,27,BOS,731,469,122,7.0,103,.325,.307,.264,.387,.330,.474,.418,.861,.747,131,.680,30.2,3.0,.883,.331,.167,23.2,*4
6,Curtis Granderson*\grandcu01,30,NYY,691,463,121,7.0,104,.295,.262,.265,.364,.331,.552,.419,.916,.750,142,.682,34.3,3.3,.960,.461,.290,31.1,*8/D
7,Alex Gordon*\gordoal01,27,KCR,690,446,118,7.1,98,.358,.303,.257,.376,.322,.502,.407,.879,.729,140,.687,35.6,3.5,.880,.324,.200,19.6,*7/3
8,Robinson Cano*\canoro01,28,NYY,681,463,112,6.5,104,.316,.302,.265,.349,.331,.533,.419,.882,.750,133,.651,27.8,2.7,.853,.302,.231,12.4,*4/D
9,Michael Young\youngmi02,34,TEX,689,446,112,6.7,106,.367,.338,.268,.380,.335,.474,.424,.854,.759,125,.666,23.5,2.3,.805,.217,.136,7.8,D534/6
10,Paul Konerko\konerpa01,35,CHW,639,406,111,7.3,104,.304,.300,.265,.388,.331,.517,.419,.906,.750,141,.700,34.0,3.3,.927,.359,.217,1.9,*3D
11,Ian Kinsler\kinslia01,29,TEX,723,489,110,6.0,106,.243,.255,.268,.355,.335,.477,.424,.832,.759,118,.620,16.8,1.6,.867,.408,.223,31.0,*4D
12,David Ortiz*\ortizda01,35,BOS,605,389,110,7.6,103,.321,.309,.264,.398,.330,.554,.418,.953,.747,154,.713,41.5,4.0,.954,.394,.246,1.9,*D/3
13,Mark Teixeira#\teixema01,31,NYY,684,464,103,6.0,104,.239,.248,.265,.341,.331,.494,.419,.835,.750,121,.614,17.4,1.7,.836,.380,.246,7.3,*3/D
14,Melky Cabrera#\cabreme01,26,KCR,706,491,102,5.6,98,.332,.305,.257,.339,.322,.470,.407,.809,.729,121,.585,17.6,1.7,.741,.233,.164,18.9,*87/D9
15,Ben Zobrist#\zobribe01,30,TBR,674,452,102,6.0,93,.310,.269,.250,.353,.314,.469,.396,.822,.710,131,.621,27.4,2.7,.827,.354,.201,19.5,*49/D
16,Billy Butler\butlebi03,25,KCR,673,447,99,5.9,98,.316,.291,.257,.361,.322,.461,.407,.822,.729,125,.613,23.3,2.3,.784,.281,.169,3.6,*D3
17,Mike Napoli\napolmi01,29,TEX,432,265,97,9.8,106,.344,.320,.268,.414,.335,.631,.424,1.046,.759,173,.799,39.6,3.8,1.125,.474,.312,7.1,23D
18,Alex Avila*\avilaal01,24,DET,551,347,96,7.4,100,.366,.295,.261,.389,.326,.506,.412,.895,.738,142,.704,30.5,3.0,.932,.373,.211,5.2,*2/D5
19,Asdrubal Cabrera#\cabreas01,25,CLE,667,462,93,5.4,94,.302,.273,.251,.332,.315,.460,.398,.792,.713,121,.571,17.0,1.7,.760,.280,.187,20.2,*6
20,Nick Markakis*\markani01,27,BAL,716,484,93,5.2,100,.300,.284,.261,.351,.326,.406,.412,.756,.738,106,.550,6.5,0.6,.707,.232,.122,13.3,*9/3D
21,Victor Martinez#\martivi01,32,DET,595,389,93,6.4,100,.343,.330,.261,.380,.326,.470,.412,.850,.738,131,.646,24.8,2.4,.793,.228,.141,1.8,*D2/3
22,Josh Hamilton*\hamiljo03,30,TEX,538,361,91,6.8,106,.317,.298,.268,.346,.335,.536,.424,.882,.759,130,.667,20.0,2.0,.880,.333,.238,12.1,*78/D
23,Carlos Santana#\santaca01,25,CLE,658,445,91,5.5,94,.263,.239,.251,.351,.315,.457,.398,.808,.713,126,.578,23.6,2.3,.806,.397,.217,8.4,23/D
24,Nick Swisher#\swishni01,30,NYY,635,418,91,5.8,104,.295,.260,.265,.374,.331,.449,.419,.822,.750,120,.606,18.8,1.8,.822,.369,.188,3.7,*93/D
25,Jeff Francoeur\francje02,27,KCR,656,467,90,5.2,98,.323,.285,.257,.329,.322,.476,.407,.805,.729,119,.551,16.2,1.6,.751,.273,.191,21.0,*9
26,Evan Longoria\longoev01,25,TBR,574,383,88,6.2,93,.239,.244,.250,.355,.314,.495,.396,.850,.710,138,.629,27.8,2.7,.862,.418,.251,5.5,*5/D
27,Adrian Beltre\beltrad01,32,TEX,525,365,87,6.4,106,.273,.296,.268,.331,.335,.561,.424,.892,.759,131,.645,20.2,2.0,.849,.316,.265,1.9,*5D
28,Mark Reynolds\reynoma01,27,BAL,620,435,85,5.2,100,.266,.221,.261,.323,.326,.483,.412,.806,.738,116,.557,11.7,1.2,.794,.406,.262,10.3,*53
29,Johnny Damon*\damonjo01,37,TBR,647,447,84,5.0,93,.284,.261,.250,.326,.314,.418,.396,.743,.710,109,.540,7.7,0.8,.714,.266,.156,17.4,*D7/3
30,Jhonny Peralta\peraljh01,29,DET,576,396,83,5.6,100,.325,.299,.261,.345,.326,.478,.412,.824,.738,122,.589,15.6,1.5,.752,.251,.179,.0,*6/3
31,Michael Cuddyer\cuddymi01,32,MIN,584,401,82,5.5,98,.312,.284,.257,.346,.322,.459,.407,.805,.729,120,.578,14.7,1.4,.766,.285,.176,14.2,934/D1
32,Adam Jones\jonesad01,25,BAL,618,441,82,5.0,100,.304,.280,.261,.319,.326,.466,.412,.785,.738,111,.535,7.7,0.8,.724,.250,.185,16.2,*8/D
33,Josh Willingham\willijo03,32,OAK,563,383,82,5.7,97,.287,.246,.256,.332,.321,.477,.405,.810,.726,121,.598,15.4,1.5,.808,.352,.232,7.0,7D
34,Yunel Escobar\escobyu01,28,TOR,590,391,80,5.5,102,.316,.290,.263,.369,.328,.413,.416,.782,.744,112,.578,10.2,1.0,.732,.242,.123,4.7,*6/D
35,Matthew Joyce*\joycema01,26,TBR,522,349,80,6.2,93,.317,.277,.250,.347,.314,.478,.396,.825,.710,131,.628,21.3,2.1,.836,.333,.201,15.4,*97/D
36,Casey Kotchman*\kotchca01,28,TBR,563,365,80,5.9,93,.335,.306,.250,.378,.314,.422,.396,.800,.710,127,.609,20.7,2.0,.749,.212,.116,3.3,*3
37,Melvin Upton\uptonbj01,26,TBR,640,457,80,4.7,93,.298,.243,.250,.331,.314,.429,.396,.759,.710,114,.508,11.5,1.1,.750,.355,.186,28.1,*8
38,J.J. Hardy\hardyjj01,28,BAL,567,402,79,5.3,100,.273,.269,.261,.310,.326,.491,.412,.801,.738,114,.560,8.4,0.8,.739,.281,.222,.0,*6
39,Howie Kendrick\kendrho01,27,LAA,583,411,79,5.2,92,.338,.285,.249,.338,.312,.464,.394,.802,.706,126,.550,17.9,1.8,.735,.255,.179,15.8,473
40,Eric Hosmer*\hosmeer01,21,KCR,563,393,78,5.3,98,.314,.293,.257,.334,.322,.465,.407,.799,.729,118,.564,11.8,1.2,.732,.249,.172,13.9,*3
41,Torii Hunter\hunteto01,35,LAA,649,462,78,4.5,92,.297,.262,.249,.336,.312,.429,.394,.765,.706,116,.491,13.7,1.3,.682,.271,.167,8.2,*9D/8
42,Derek Jeter\jeterde01,37,NYY,607,409,78,5.1,104,.336,.297,.265,.355,.331,.388,.419,.743,.750,100,.547,0.3,0.0,.685,.194,.092,8.7,*6D
43,Alexei Ramirez\ramiral03,29,CHW,684,486,78,4.3,104,.288,.269,.265,.328,.331,.399,.419,.727,.750,94,.468,-5.1,-0.5,.643,.217,.130,9.5,*6/D
44,Kevin Youkilis\youklke01,32,BOS,517,338,77,6.1,103,.296,.258,.264,.373,.330,.459,.418,.833,.747,123,.625,17.2,1.7,.847,.367,.202,5.1,*5/3D
45,Erick Aybar#\aybarer01,27,LAA,605,432,76,4.7,92,.301,.279,.249,.322,.312,.421,.394,.743,.706,110,.510,7.2,0.7,.702,.241,.142,15.0,*6
46,Elvis Andrus\andruel01,22,TEX,665,469,75,4.3,106,.312,.279,.268,.347,.335,.361,.425,.708,.759,89,.466,-9.3,-0.9,.659,.220,.082,8.8,*6/D
47,Nelson Cruz\cruzne02,30,TEX,513,366,74,5.4,106,.288,.263,.268,.312,.335,.509,.425,.821,.759,113,.572,7.0,0.7,.774,.324,.246,13.7,*97/D
48,Carlos Quentin\quentca01,28,CHW,483,327,74,6.1,104,.261,.254,.265,.340,.331,.499,.419,.838,.750,122,.622,13.4,1.3,.829,.325,.245,1.9,9D
49,Brett Gardner*\gardnbr01,27,NYY,588,406,73,4.8,104,.303,.259,.265,.345,.331,.369,.419,.713,.750,92,.519,-5.5,-0.5,.737,.298,.110,12.3,*78
50,Austin Jackson\jacksau01,24,DET,668,477,73,4.1,100,.340,.249,.261,.317,.326,.374,.412,.690,.738,88,.447,-11.2,-1.1,.648,.249,.125,13.8,*8/D
51,Ichiro Suzuki*\suzukic01,37,SEA,721,516,73,3.8,90,.295,.272,.246,.310,.310,.335,.390,.645,.700,86,.412,-12.2,-1.2,.585,.170,.064,8.9,*9D
52,Peter Bourjos\bourjpe01,24,LAA,552,390,72,5.0,92,.338,.271,.249,.327,.312,.438,.394,.765,.706,116,.532,9.8,1.0,.720,.257,.167,15.5,*8
53,Bobby Abreu*\abreubo01,37,LAA,585,392,71,4.9,92,.310,.253,.249,.353,.312,.365,.394,.717,.706,105,.523,8.0,0.8,.716,.299,.112,11.6,D79
54,Juan Pierre*\pierrju01,33,CHW,711,507,71,3.8,104,.294,.279,.265,.329,.331,.327,.419,.657,.750,78,.407,-21.1,-2.1,.555,.131,.049,3.7,*7/D
55,Matt Wieters#\wietema01,25,BAL,551,386,71,4.9,100,.276,.262,.261,.328,.326,.450,.412,.778,.738,110,.531,6.3,0.6,.717,.286,.188,1.9,*2/D3
56,Edwin Encarnacion\encared01,28,TOR,530,372,70,5.0,102,.292,.272,.263,.334,.328,.453,.416,.787,.744,111,.541,7.4,0.7,.732,.283,.181,10.9,D53
57,Mark Trumbo\trumbma01,25,LAA,573,427,69,4.3,92,.274,.254,.249,.291,.312,.477,.394,.768,.706,114,.471,8.8,0.9,.690,.278,.223,13.7,*39/7
58,Brennan Boesch*\boescbr01,26,DET,472,321,67,5.6,100,.315,.283,.261,.341,.326,.458,.412,.799,.738,116,.587,9.3,0.9,.751,.262,.175,7.6,79D
59,Alberto Callaspo#\callaal01,28,LAA,536,352,67,5.1,92,.310,.288,.249,.366,.312,.375,.394,.740,.706,112,.546,10.7,1.0,.697,.223,.086,6.9,*5
60,Coco Crisp#\crispco01,31,OAK,583,421,67,4.3,97,.284,.264,.256,.314,.321,.379,.405,.693,.726,91,.464,-6.2,-0.6,.689,.267,.115,13.8,*8/D
61,Vladimir Guerrero\guerrvl01,36,BAL,590,428,67,4.2,100,.302,.290,.261,.317,.326,.416,.412,.733,.738,98,.456,-2.7,-0.3,.608,.157,.126,3.5,*D
