1,Mickey Mantle#\mantlmi01,26,NYY,654,379,147,10.4,95,.323,.304,.257,.443,.325,.592,.390,1.035,.715,188,.834,69.2,6.9,1.208,.565,.287,25.2,*8
2,Rocky Colavito\colavro01,24,CLE,578,362,122,9.0,97,.296,.303,.260,.405,.329,.620,.396,1.024,.725,180,.795,54.7,5.4,1.078,.485,.317,.0,*93/71
3,Jackie Jensen\jenseja01,31,BOS,654,413,120,7.8,103,.270,.286,.268,.396,.338,.535,.408,.931,.746,148,.747,40.2,4.0,.980,.438,.248,14.3,*9/7
4,Ted Williams*\willite01,39,BOS,517,299,112,10.0,103,.321,.328,.268,.458,.338,.584,.408,1.042,.746,179,.825,52.0,5.2,1.163,.496,.255,1.9,*7
5,Pete Runnels*\runnepe01,30,BOS,666,407,107,7.0,103,.340,.322,.268,.416,.338,.438,.408,.854,.746,130,.711,29.1,2.9,.848,.268,.116,1.8,*43
6,Bob Cerv\cervbo01,33,KCA,571,382,106,7.4,100,.300,.305,.264,.371,.333,.592,.401,.963,.734,159,.731,39.2,3.9,.947,.384,.287,5.6,*7
7,Roy Sievers\sievero01,31,WSH,614,409,106,6.9,96,.270,.295,.259,.357,.328,.544,.394,.900,.722,147,.706,33.6,3.4,.891,.349,.249,5.6,*73
8,Minnie Minoso\minosmi01,32,CLE,638,423,101,6.4,97,.299,.302,.260,.383,.329,.484,.396,.867,.725,139,.674,30.6,3.1,.827,.288,.182,17.7,*7/5
9,Al Kaline\kalinal01,23,DET,607,403,96,6.4,104,.318,.313,.269,.374,.340,.490,.409,.864,.749,130,.673,23.1,2.3,.823,.282,.177,9.7,*9/8
10,Vic Power\powervi01,30,TOT,620,430,93,5.8,98,.297,.312,.262,.332,.330,.490,.398,.822,.728,124,.633,16.4,1.7,.739,.214,.178,5.1,354/67
11,Harvey Kuenn\kuennha01,27,DET,619,412,89,5.8,104,.327,.319,.270,.373,.340,.442,.409,.815,.749,118,.632,15.4,1.6,.726,.205,.123,6.2,*8
12,Jim Landis\landiji01,24,CHW,593,404,82,5.4,97,.303,.277,.260,.351,.329,.434,.396,.785,.725,116,.605,11.5,1.2,.759,.279,.157,16.8,*8
13,Frank Malzone\malzofr01,28,BOS,673,474,82,4.6,103,.302,.295,.268,.333,.338,.421,.408,.754,.746,102,.534,-0.0,0.0,.642,.175,.126,1.9,*5
14,Norm Siebern*\siebeno01,24,NYY,532,343,82,6.4,95,.343,.300,.257,.388,.325,.454,.390,.842,.715,136,.675,24.2,2.4,.810,.291,.154,7.4,*78
15,Frank Bolling\bollifr01,26,DET,681,472,81,4.6,104,.272,.269,.270,.328,.340,.392,.410,.720,.749,92,.530,-6.6,-0.7,.651,.215,.123,8.4,*4
16,Nellie Fox*\foxne01,30,CHW,698,472,79,4.5,97,.303,.300,.260,.357,.329,.353,.396,.710,.725,98,.519,-0.5,-0.1,.609,.127,.053,.0,*4
17,Roger Maris*\marisro01,23,TOT,637,454,77,4.5,99,.236,.240,.263,.294,.332,.431,.399,.725,.731,97,.525,-5.5,-0.6,.671,.271,.190,7.0,*98
18,Sherm Lollar\lollash01,33,CHW,491,324,72,5.9,97,.258,.273,.260,.367,.329,.454,.396,.821,.725,126,.645,16.8,1.7,.806,.318,.181,3.6,*2
19,Jim Lemon\lemonji01,30,WSH,555,396,71,4.8,96,.272,.246,.259,.314,.328,.467,.394,.781,.722,114,.550,7.0,0.7,.720,.317,.222,3.7,*9/7
20,Bob Nieman\niemabo01,31,BAL,414,271,71,7.0,93,.348,.325,.254,.395,.322,.522,.387,.917,.709,157,.710,29.3,2.9,.858,.301,.197,3.6,7
21,Gail Harris*\harriga01,26,DET,498,347,70,5.4,104,.273,.273,.270,.328,.340,.481,.409,.809,.749,114,.603,7.1,0.7,.753,.286,.208,1.9,*3
22,Hector Lopez\lopezhe01,28,KCA,631,458,70,4.1,100,.263,.261,.264,.317,.333,.415,.401,.732,.734,99,.477,-1.3,-0.1,.645,.241,.154,3.6,45/76
23,Albie Pearson*\pearsal02,23,WSH,610,417,69,4.4,96,.287,.275,.259,.354,.328,.358,.394,.712,.722,99,.514,1.5,0.2,.633,.202,.083,4.2,*8/9
24,Charlie Maxwell*\maxwech01,31,DET,466,300,68,6.0,104,.284,.272,.270,.369,.340,.426,.410,.795,.749,113,.653,8.7,0.9,.807,.327,.154,8.2,*73/9
25,Gene Woodling*\woodlge01,35,BAL,487,319,68,5.7,93,.283,.276,.254,.378,.322,.429,.387,.806,.709,128,.626,18.1,1.8,.784,.317,.153,6.3,*97
26,Yogi Berra*\berrayo01,33,NYY,476,330,67,5.4,95,.243,.266,.257,.319,.325,.471,.390,.790,.715,119,.605,9.8,1.0,.753,.293,.206,5.3,29/3
27,Gus Triandos\triangu01,27,BAL,544,389,67,4.6,93,.223,.245,.254,.327,.322,.456,.387,.782,.709,119,.532,12.1,1.2,.732,.340,.211,1.9,*2
28,Don Buddin\buddido01,24,BOS,594,407,66,4.3,103,.278,.237,.268,.349,.338,.368,.408,.717,.746,93,.504,-2.3,-0.2,.669,.288,.131,.0,*6
29,Gil McDougald\mcdougi01,30,NYY,578,407,64,4.2,95,.267,.250,.257,.329,.325,.376,.390,.705,.715,98,.490,-0.2,-0.0,.647,.250,.125,8.4,*46
30,Luis Aparicio\aparilu01,24,CHW,604,434,62,3.8,97,.281,.266,.260,.309,.329,.345,.396,.653,.725,81,.447,-15.7,-1.6,.593,.183,.079,3.7,*6
31,Bob Boyd*\boydbo01,38,BAL,432,287,62,5.8,93,.314,.309,.254,.350,.322,.439,.387,.789,.709,122,.632,11.6,1.2,.717,.192,.130,1.8,3
32,Hank Bauer\bauerha01,35,NYY,490,345,60,4.6,95,.282,.268,.257,.316,.325,.423,.390,.739,.715,106,.537,2.1,0.2,.662,.228,.155,4.8,*9/7
33,Dick Gernert\gernedi01,29,BOS,496,349,60,4.6,103,.245,.237,.268,.330,.338,.425,.408,.755,.746,102,.531,0.9,0.1,.713,.329,.188,3.6,*3
34,Elston Howard\howarel01,29,NYY,406,276,60,5.8,95,.346,.314,.257,.348,.325,.479,.390,.827,.715,130,.635,14.1,1.4,.754,.223,.165,1.8,27/93
35,Bill Skowron\skowrbi01,27,NYY,502,361,59,4.4,95,.292,.273,.257,.317,.325,.424,.390,.740,.715,106,.508,2.9,0.3,.645,.211,.151,1.9,*3/5
36,Al Smith\smithal04,30,CHW,541,387,59,4.1,97,.275,.252,.260,.323,.329,.396,.396,.719,.725,98,.476,-0.9,-0.1,.641,.244,.144,4.8,*79/85
37,Bill Tuttle\tuttlbi01,28,KCA,594,427,59,3.7,100,.240,.231,.264,.327,.333,.358,.401,.685,.734,88,.432,-8.5,-0.9,.611,.268,.127,8.6,*89
38,Preston Ward*\wardpr01,30,TOT,464,314,59,5.0,99,.310,.284,.263,.340,.332,.397,.399,.737,.731,102,.571,1.1,0.1,.661,.197,.113,.0,35/7
39,Mickey Vernon*\vernomi01,40,CLE,404,266,58,5.8,97,.328,.293,.260,.372,.329,.439,.396,.812,.725,124,.636,13.1,1.3,.753,.259,.146,.0,3
40,Andy Carey\careyan01,26,NYY,366,242,57,6.3,95,.297,.286,.257,.363,.325,.486,.390,.849,.715,136,.668,16.1,1.6,.828,.305,.200,1.8,5
41,Billy Goodman*\goodmbi01,32,CHW,471,315,55,4.7,97,.311,.299,.260,.355,.329,.358,.396,.712,.725,98,.538,-0.2,-0.0,.623,.148,.059,.0,*5/346
42,Clint Courtney*\courtcl01,31,WSH,515,361,52,3.8,96,.248,.251,.259,.332,.328,.344,.394,.676,.722,89,.451,-5.1,-0.5,.589,.191,.093,1.8,*2
43,Tony Kubek*\kubekto01,22,NYY,597,434,52,3.2,95,.290,.265,.257,.295,.325,.317,.390,.612,.715,72,.369,-21.4,-2.2,.483,.098,.052,2.9,*6/9348
44,Eddie Yost\yosted01,31,WSH,503,337,52,4.1,96,.230,.224,.259,.361,.328,.323,.394,.683,.722,92,.482,0.7,0.1,.661,.291,.099,4.4,*5/73
45,Bobby Avila\avilabo01,34,CLE,445,306,50,4.4,97,.275,.253,.260,.349,.329,.365,.396,.714,.725,98,.508,1.1,0.1,.654,.253,.112,5.0,45
46,Russ Nixon*\nixonru01,23,CLE,395,287,47,4.4,97,.314,.301,.260,.322,.329,.439,.396,.761,.725,109,.508,2.7,0.3,.623,.165,.138,.0,2
47,Jim Piersall\piersji01,28,BOS,469,341,46,3.6,103,.245,.237,.268,.303,.338,.350,.408,.653,.746,75,.420,-14.8,-1.5,.598,.237,.113,9.6,*8
48,Billy Gardner\gardnbi02,30,BAL,607,458,45,2.6,93,.242,.225,.254,.271,.322,.298,.387,.569,.709,61,.289,-28.7,-3.0,.453,.132,.073,2.4,*46
49,Red Wilson\wilsore01,29,DET,343,225,45,5.3,104,.321,.299,.270,.373,.340,.379,.410,.752,.749,102,.599,2.4,0.2,.737,.232,.081,4.6,2
50,Billy Martin\martibi02,30,DET,536,409,44,2.9,104,.276,.255,.270,.279,.339,.339,.410,.619,.749,65,.324,-25.6,-2.6,.487,.120,.084,5.8,65
51,Dick Williams\willidi02,29,BAL,462,333,44,3.5,93,.301,.276,.254,.336,.322,.347,.387,.683,.709,94,.412,-1.7,-0.2,.549,.147,.071,.0,58739/4
52,Ray Boone\boonera01,34,TOT,401,292,43,3.9,99,.243,.242,.263,.304,.332,.406,.400,.710,.733,93,.460,-4.2,-0.4,.625,.247,.164,1.9,3
53,Larry Doby*\dobyla01,34,CLE,276,189,41,5.8,97,.303,.283,.260,.348,.329,.490,.396,.838,.725,129,.635,9.7,1.0,.780,.304,.206,.0,8/79
54,Hal Smith\smithha08,27,KCA,352,244,41,4.5,100,.299,.273,.264,.323,.333,.394,.401,.717,.734,95,.521,-1.3,-0.1,.643,.200,.121,.0,523
55,Al Pilarcik*\pilaral01,27,BAL,430,304,39,3.4,93,.265,.243,.255,.320,.322,.306,.387,.626,.709,78,.399,-8.9,-0.9,.552,.185,.063,1.8,*98/7
56,Earl Torgeson*\torgeea01,34,CHW,236,147,39,7.1,97,.268,.266,.260,.415,.329,.468,.396,.883,.725,144,.715,14.1,1.4,.959,.484,.202,8.2,3
57,Norm Zauchin\zauchno01,28,WSH,349,251,39,4.2,96,.239,.228,.259,.310,.328,.416,.394,.726,.722,100,.485,0.0,0.0,.676,.314,.188,.0,3
58,Rocky Bridges\bridgro01,30,WSH,411,301,38,3.4,96,.275,.263,.259,.315,.328,.355,.394,.671,.722,86,.391,-7.3,-0.7,.542,.156,.093,.0,*6/45
59,Brooks Robinson\robinbr01,21,BAL,507,382,38,2.7,93,.261,.238,.255,.292,.322,.305,.387,.597,.709,69,.294,-19.0,-2.0,.471,.132,.067,1.5,*54
60,Harry Chiti\chitiha01,25,KCA,327,236,37,4.2,100,.287,.268,.264,.311,.333,.417,.401,.728,.734,97,.489,-1.8,-0.2,.644,.214,.149,4.5,2
61,Sammy White\whitesa02,30,BOS,352,252,37,3.9,103,.276,.259,.268,.305,.338,.378,.408,.683,.746,83,.459,-8.8,-0.9,.582,.183,.119,1.7,2
62,Herb Plews*\plewshe01,30,WSH,401,295,36,3.3,96,.288,.258,.259,.291,.328,.337,.394,.628,.722,74,.377,-14.7,-1.5,.497,.121,.079,2.0,45
63,Harry Simpson*\simpsha01,32,TOT,297,201,36,4.8,99,.284,.255,.263,.338,.331,.384,.399,.722,.730,98,.549,-0.6,-0.1,.660,.243,.129,.0,379
64,Chico Carrasquel\carrach01,32,TOT,356,254,31,3.3,98,.246,.234,.262,.311,.331,.313,.398,.624,.729,72,.377,-11.8,-1.2,.532,.187,.079,.0,65
65,Jim Rivera*\riverji01,36,CHW,309,232,31,3.6,97,.236,.225,.260,.282,.329,.380,.396,.663,.725,82,.417,-7.4,-0.8,.661,.308,.156,12.6,79/8
66,Bob Martyn*\martybo01,27,KCA,254,175,30,4.6,100,.302,.261,.264,.336,.333,.394,.401,.730,.734,99,.530,-0.6,-0.1,.647,.235,.133,1.3,97/8
67,Joe DeMaestri\demaejo01,29,KCA,468,368,29,2.1,100,.256,.219,.264,.247,.333,.290,.401,.536,.734,46,.214,-34.2,-3.5,.407,.109,.070,1.7,*6
68,Bubba Phillips\phillbu02,30,CHW,286,209,29,3.7,97,.268,.273,.260,.310,.329,.369,.396,.679,.725,87,.434,-4.4,-0.4,.578,.165,.096,3.8,578/9
69,Gene Stephens*\stephge01,25,BOS,295,220,27,3.3,103,.231,.219,.268,.279,.338,.363,.408,.642,.746,71,.380,-11.8,-1.2,.550,.222,.144,1.8,*78/9
70,Jerry Lumpe*\lumpeje01,25,NYY,262,188,26,3.7,95,.264,.254,.257,.319,.325,.362,.390,.681,.715,91,.432,-2.5,-0.3,.588,.203,.108,1.5,5/6
71,Reno Bertoia\bertore01,23,DET,273,201,25,3.3,104,.243,.233,.270,.290,.340,.333,.410,.623,.749,67,.385,-11.1,-1.1,.553,.196,.100,5.5,5/67
72,Enos Slaughter*\slaugen01,42,NYY,160,100,25,6.7,95,.322,.304,.257,.396,.325,.435,.390,.831,.715,133,.692,6.9,0.7,.838,.297,.130,2.7,97
73,Ken Aspromonte\asproke01,26,TOT,301,225,24,2.8,97,.229,.219,.260,.294,.328,.316,.395,.610,.723,70,.321,-11.2,-1.2,.514,.201,.097,1.7,45/6
74,Earl Battey\batteea01,23,CHW,198,137,24,4.7,97,.233,.226,.260,.325,.329,.417,.396,.742,.725,104,.540,1.5,0.2,.729,.339,.190,1.8,2
75,Jim Busby\busbyji01,31,BAL,245,173,24,3.7,93,.271,.237,.255,.320,.322,.330,.387,.650,.709,85,.434,-3.8,-0.4,.588,.214,.093,4.0,*8/5
76,Woodie Held\heldwo01,26,TOT,313,238,23,2.6,98,.236,.204,.262,.281,.331,.309,.398,.590,.729,62,.283,-14.3,-1.5,.494,.189,.105,1.8,86/57
77,Tito Francona*\francti01,24,TOT,226,156,22,3.8,100,.314,.254,.264,.350,.333,.330,.401,.680,.733,87,.441,-2.7,-0.3,.596,.218,.076,1.3,97/3
78,Billy Harrell\harrebi01,29,CLE,248,186,22,3.2,97,.230,.218,.260,.271,.329,.328,.396,.599,.725,65,.364,-11.7,-1.2,.554,.218,.109,8.8,56/49
79,Gus Zernial\zernigu01,35,DET,131,88,22,6.7,104,.368,.323,.270,.351,.340,.516,.410,.867,.749,129,.692,4.6,0.5,.805,.242,.194,.0,7
80,Dick Brown\browndi01,23,CLE,193,138,21,4.1,97,.243,.237,.260,.304,.329,.387,.396,.691,.725,90,.476,-2.7,-0.3,.630,.237,.150,1.8,2
81,Marv Throneberry*\thronma01,24,NYY,172,121,21,4.6,95,.260,.227,.257,.316,.325,.427,.390,.742,.715,106,.536,1.1,0.1,.706,.327,.200,1.8,3/9
82,Gary Geiger*\geigega01,21,CLE,229,157,20,3.4,97,.288,.231,.260,.330,.329,.272,.396,.602,.725,69,.395,-7.2,-0.7,.542,.179,.041,1.3,8/9571
83,Frank House*\housefr03,28,KCA,218,163,20,3.3,100,.251,.252,.264,.295,.333,.371,.401,.666,.734,81,.380,-6.0,-0.6,.556,.183,.119,1.6,2
84,Ron Jackson\jacksro01,24,CHW,167,117,20,4.6,97,.287,.233,.260,.323,.329,.404,.396,.727,.725,100,.529,0.1,0.0,.698,.308,.171,3.1,3
85,Lou Berberet*\berbelo01,28,TOT,210,145,19,3.5,103,.246,.208,.268,.344,.338,.306,.407,.651,.745,77,.408,-4.7,-0.5,.604,.289,.098,.0,2
86,Neil Chrisley*\chrisne01,26,WSH,251,194,19,2.6,96,.214,.215,.259,.265,.328,.343,.394,.608,.722,68,.289,-11.3,-1.2,.490,.189,.129,1.7,79/85
87,Coot Veal\vealco01,25,DET,230,172,19,3.0,104,.282,.256,.270,.304,.340,.324,.409,.627,.749,68,.335,-9.2,-1.0,.500,.135,.068,.0,6
88,Johnny Groth\grothjo01,31,DET,161,112,18,4.3,104,.312,.281,.270,.340,.340,.384,.410,.723,.749,94,.500,-1.6,-0.2,.618,.185,.103,.0,789
89,Billy Hunter\huntebi03,30,TOT,280,217,18,2.2,98,.217,.185,.261,.254,.330,.278,.397,.532,.727,47,.230,-18.4,-1.9,.457,.194,.093,2.9,6/45
90,Jim Marshall*\marshji01,27,BAL,210,158,18,3.0,93,.228,.215,.255,.280,.322,.346,.387,.625,.709,76,.347,-6.6,-0.7,.545,.230,.131,3.8,3/97
91,Billy Moran\moranbi02,24,CLE,279,217,18,2.2,97,.244,.226,.260,.262,.329,.280,.396,.542,.725,50,.230,-17.6,-1.8,.413,.109,.054,1.5,46
92,Ozzie Virgil\virgioz01,26,DET,203,153,18,3.1,104,.257,.244,.270,.272,.340,.363,.409,.635,.749,69,.361,-9.2,-0.9,.523,.166,.119,1.5,5
93,Mike Baxes\baxesmi01,27,KCA,257,194,17,2.3,100,.237,.212,.264,.286,.333,.264,.401,.550,.734,52,.248,-15.2,-1.6,.417,.121,.052,.0,4/6
94,Bobby Richardson\richabo01,22,NYY,195,146,15,2.7,95,.251,.247,.257,.276,.325,.302,.390,.578,.715,62,.306,-9.5,-1.0,.433,.088,.055,.0,45/6
95,Don Mueller*\muelldo01,31,CHW,180,129,14,2.9,97,.266,.253,.260,.298,.329,.283,.396,.581,.725,62,.328,-8.6,-0.9,.460,.096,.030,,9
96,Ossie Alvarez\alvaros01,24,WSH,217,162,13,2.1,96,.241,.209,.259,.269,.328,.224,.394,.493,.722,39,.219,-16.3,-1.7,.382,.097,.015,.0,64/5
97,Ted Lepcio\lepcite01,28,BOS,149,112,13,3.1,103,.253,.199,.268,.268,.338,.353,.408,.621,.746,66,.356,-7.2,-0.7,.536,.235,.154,.0,4
98,Willy Miranda#\miranwi01,32,BAL,230,176,13,2.0,93,.223,.201,.254,.250,.322,.243,.387,.493,.709,40,.194,-17.2,-1.8,.379,.107,.042,1.0,6
