1,Mickey Mantle#\mantlmi01,30,NYY,123,502,58,3,1,-15,-2,46,4.4,15,61,5.9,.537,.528,7.6,-1.8,76,$90000,Amateur Free Agent,*89
2,Brooks Robinson\robinbr01,25,BAL,162,697,20,1,-2,18,4,40,3.9,21,61,6.1,.526,.526,4.4,2.1,44,$25000,Amateur Free Agent,*5/64
3,Rocky Colavito\colavro01,28,DET,161,707,28,2,-3,18,-8,37,3.6,21,58,5.7,.524,.524,4.1,0.8,40,,Traded,*7
4,Norm Siebern*\siebeno01,28,KCA,162,719,38,1,1,4,-9,35,3.3,21,56,5.5,.522,.522,5.3,-0.7,52,$25000,Traded,*3
5,Al Kaline\kalinal01,27,DET,100,452,29,0,-2,8,-4,31,3.0,13,44,4.4,.532,.520,3.7,0.3,36,$49000,Amateur Free Agent--bonus baby,9
6,Ed Charles\charled01,29,KCA,147,604,16,5,1,6,3,31,3.0,19,49,4.8,.522,.520,4.4,0.8,43,,Traded,*5/4
7,John Romano\romanjo01,27,CLE,135,548,18,-1,-2,7,7,29,2.8,17,46,4.5,.522,.519,4.0,1.4,39,,Traded,*2
8,Eddie Bressoud\bressed01,30,BOS,153,657,4,-2,1,16,9,29,2.8,20,49,4.8,.520,.519,3.3,2.5,33,,Traded,*6
9,Bob Allison\allisbo01,27,MIN,149,613,27,3,-1,7,-7,28,2.7,19,47,4.6,.520,.518,4.1,-0.2,41,$23250,Amateur Free Agent,*9/87
10,Clete Boyer\boyercl02,25,NYY,158,633,-1,-2,-2,28,3,27,2.6,19,46,4.6,.518,.518,1.8,3.2,18,,Traded,*5
11,Joe Cunningham*\cunnijo01,30,CHW,149,652,26,-3,2,7,-9,24,2.3,20,44,4.2,.517,.516,3.7,-0.3,37,,Traded,*3/9
12,Tom Tresh#\treshto01,23,NYY,157,712,19,-1,2,0,5,24,2.2,21,45,4.3,.516,.515,4.6,0.3,45,,Amateur Free Agent,*67
13,Elston Howard\howarel01,33,NYY,136,538,10,-1,-3,9,7,22,2.1,16,38,3.8,.517,.514,3.0,1.6,30,,Purchased,*2
14,Woodie Held\heldwo01,30,CLE,139,555,13,0,-2,2,8,22,2.1,17,39,3.8,.516,.514,3.7,1.0,37,,Traded,*6/58
15,Carl Yastrzemski*\yastrca01,22,BOS,160,719,14,-0,-3,19,-8,22,2.0,21,43,4.2,.515,.514,2.4,1.0,24,$15000,Amateur Free Agent,*7
16,Rich Rollins\rolliri01,24,MIN,159,721,17,2,-1,-0,3,21,1.9,21,42,4.0,.513,.513,4.3,0.2,42,,Amateur Free Agent,*5/6
17,Jerry Lumpe*\lumpeje01,29,KCA,156,699,7,1,1,6,4,20,1.8,21,40,3.9,.513,.513,3.5,1.0,34,,Traded,*4/6
18,Norm Cash*\cashno01,27,DET,148,629,24,-3,1,5,-9,19,1.7,19,38,3.7,.513,.512,3.4,-0.6,34,$29000,Traded,*3/9
19,Roger Maris*\marisro01,27,NYY,157,687,19,4,1,-1,-5,18,1.6,21,38,3.7,.512,.511,4.0,-0.8,40,$70000,Traded,*98
20,Floyd Robinson*\robinfl01,26,CHW,156,684,25,1,3,-2,-9,17,1.5,21,38,3.6,.512,.511,4.1,-1.4,40,,Minor Lg Working Ag,*79
21,Pete Runnels*\runnepe01,34,BOS,152,650,24,-2,1,1,-9,16,1.4,20,35,3.4,.511,.510,3.5,-1.0,34,,Traded,*3
22,Bobby Del Greco\delgrbo01,29,KCA,132,403,5,2,-0,9,-2,14,1.3,12,26,2.5,.511,.509,1.8,0.5,17,,Traded,*87/9
23,Chuck Essegian\essegch01,30,CLE,106,391,18,1,-1,-2,-4,13,1.2,12,25,2.4,.513,.508,2.7,-0.7,27,,Purchased,7/89
24,Billy Moran\moranbi02,28,LAA,160,721,-1,2,1,7,4,14,1.1,21,35,3.3,.509,.509,2.8,1.1,27,,Traded,*4
25,Bobby Richardson\richabo01,26,NYY,161,754,5,-0,1,3,4,13,1.1,21,34,3.2,.509,.509,3.2,0.6,31,,Amateur Free Agent,*4
26,Lou Clinton\clintlo01,24,BOS,114,436,19,0,-0,-3,-4,12,1.1,13,25,2.4,.511,.508,2.8,-0.9,28,,Amateur Free Agent,9
27,Al Luplow*\luploal01,23,CLE,97,362,12,-1,1,4,-5,11,1.0,11,22,2.2,.512,.507,1.9,-0.2,19,,Amateur Free Agent,79
28,Jackie Brandt\brandja01,28,BAL,143,570,12,1,1,-0,-2,11,0.9,17,29,2.7,.508,.507,3.0,-0.4,29,$22000,Traded,*89/5
29,Jerry Adair\adairje01,25,BAL,139,573,3,1,-1,-0,8,11,0.9,18,28,2.7,.508,.507,2.9,0.6,29,,Amateur Free Agent,*64/5
30,Camilo Pascual\pascuca02,28,MIN,34,103,-3,-1,-0,0,12,9,0.9,0,9,0.9,.526,.506,0.9,-0.0,9,$29500,Amateur Free Agent,1
31,Bill Bruton*\brutobi01,36,DET,147,634,5,1,2,3,-1,11,0.9,19,30,2.8,.507,.507,2.7,0.1,27,,Traded,*8
32,Jim Pagliaroni\pagliji01,24,BOS,90,303,6,0,0,-1,4,9,0.8,9,18,1.8,.510,.506,2.0,0.2,19,,Amateur Free Agent--bonus baby,2
33,Harmon Killebrew\killeha01,26,MIN,155,666,31,-2,-1,-10,-7,10,0.8,20,30,2.8,.507,.507,4.1,-2.0,41,,Amateur Free Agent--bonus baby,*7/3
34,Dick Donovan*\donovdi01,34,CLE,34,100,-5,0,-0,0,12,7,0.7,0,7,0.7,.522,.505,0.7,-0.0,7,,Traded,1
35,Frank Malzone\malzofr01,32,BOS,156,663,-0,-0,-2,8,3,9,0.7,20,30,2.8,.506,.506,2.1,1.1,21,,Amateur Free Agent,*5
36,Albie Pearson*\pearsal02,27,LAA,160,718,1,4,0,5,-1,9,0.7,21,30,2.8,.506,.506,2.5,0.2,25,,Expansion Draft--premium/minors,*89
37,Gene Conley\conlege01,31,BOS,34,93,-5,0,1,0,11,7,0.7,0,7,0.7,.521,.504,0.7,-0.0,7,,Traded,1
38,Jerry Walker#\walkeje01,23,KCA,36,59,-1,0,0,0,7,7,0.7,0,7,0.7,.519,.504,0.7,-0.0,7,,Traded,1
39,Earl Battey\batteea01,27,MIN,148,591,1,-1,-1,2,8,8,0.6,18,26,2.5,.506,.505,2.5,0.9,25,,Traded,*2
40,Ray Herbert\herbera01,32,CHW,35,92,-5,-0,-0,0,11,6,0.6,0,6,0.6,.518,.504,0.6,-0.0,6,,Traded,1
41,Don Mincher*\minchdo01,24,MIN,86,157,7,1,-0,-1,-1,6,0.5,5,10,1.0,.507,.504,1.1,-0.3,11,,Traded,3
42,Frank Baumann*\baumafr01,28,CHW,40,38,0,-0,1,0,5,5,0.5,0,5,0.5,.513,.503,0.5,-0.0,5,,Traded,1
43,Walt Bond*\bondwa01,24,CLE,12,54,9,-0,-0,-3,-1,6,0.5,2,7,0.7,.544,.503,1.0,-0.4,10,,Amateur Free Agent,9/7
44,Bob Johnson\johnsbo02,26,WSA,135,504,1,-2,-2,4,5,7,0.5,15,22,2.0,.505,.504,1.8,0.8,18,,Expansion Draft,56/47
45,Earl Wilson\wilsoea01,27,BOS,35,75,-4,-0,0,0,9,5,0.5,0,5,0.5,.515,.503,0.5,-0.0,5,,Amateur Free Agent,1
46,Jim Bunning\bunniji01,30,DET,43,102,-7,-1,0,0,12,5,0.5,0,5,0.5,.512,.503,0.5,-0.0,5,$35000,Amateur Free Agent,1
47,Doc Edwards\edwardo01,25,CLE,53,154,1,0,-0,2,2,5,0.5,5,10,0.9,.510,.503,0.8,0.4,8,,Amateur Free Agent,2
48,Whitey Herzog*\herzowh01,30,BAL,99,312,8,-1,1,2,-3,6,0.5,10,15,1.4,.506,.504,1.3,-0.2,13,,Traded,97/8
49,Barry Latman\latmaba01,26,CLE,45,60,-3,0,1,0,7,5,0.5,0,5,0.5,.511,.503,0.5,-0.0,5,,Traded,1
50,Eli Grba\grbael01,27,LAA,42,65,-3,-0,0,0,8,4,0.4,0,4,0.4,.511,.503,0.5,-0.0,4,,Expansion Draft,1
51,Chuck Hinton\hintoch01,28,WSA,151,598,14,3,0,-6,-6,6,0.4,18,25,2.3,.504,.504,3.1,-1.4,31,$12000,Expansion Draft,*9784/6
52,Dick Howser\howsedi01,26,KCA,83,337,-4,6,0,-2,4,5,0.4,10,16,1.5,.507,.503,1.8,0.2,17,,Amateur Free Agent,6
53,Jim Kaat*\kaatji01,23,MIN,48,109,-10,0,1,0,13,4,0.4,0,4,0.4,.510,.503,0.4,-0.0,4,,Amateur Free Agent,1
54,Don Mossi*\mossido01,33,DET,36,66,-5,1,0,0,8,4,0.4,0,4,0.4,.512,.503,0.4,-0.0,4,,Traded,1
55,Al Smith\smithal04,34,CHW,142,575,13,-1,-2,-4,0,6,0.4,18,24,2.2,.504,.504,2.8,-0.5,28,$36500,Traded,57/9
56,Gene Woodling*\woodlge01,39,WSA,44,135,6,0,1,-2,-1,4,0.4,4,8,0.8,.510,.503,1.0,-0.3,10,$36000,Expansion Draft,9/7
57,Terry Fox\foxte01,26,DET,47,13,2,1,0,0,2,4,0.4,0,4,0.4,.508,.502,0.4,-0.1,4,,Traded,1
58,John Wojcik*\wojcijo01,20,KCA,16,57,4,1,0,-0,-1,4,0.4,2,6,0.6,.525,.502,0.6,-0.1,6,,Amateur Free Agent,7/9
59,Jim Gentile*\gentiji01,28,BAL,152,639,15,-1,-1,2,-9,6,0.4,20,26,2.3,.504,.504,2.3,-0.9,24,$30000,Traded,*3
60,Billy Hoeft*\hoeftbi01,30,BAL,57,27,1,-0,0,0,3,4,0.4,0,4,0.4,.507,.502,0.4,-0.1,4,$19000,Traded,1
61,Don Lock\lockdo01,25,WSA,71,259,2,-2,-1,8,-3,4,0.3,8,12,1.1,.506,.503,0.3,0.5,4,,Traded,7/89
62,Ted Bowsfield\bowsfte01,27,LAA,44,47,-2,-0,0,0,6,3,0.3,0,3,0.3,.507,.502,0.3,-0.0,3,,Expansion Draft--extra,1
63,Marty Martinez#\martima01,20,MIN,37,24,2,-0,0,1,0,3,0.3,1,4,0.4,.509,.502,0.3,0.1,3,,Amateur Free Agent,6/5
64,Brian McCall*\mccalbr01,19,CHW,4,8,3,-0,0,0,0,3,0.3,0,3,0.3,.577,.502,0.3,0.1,3,,Amateur Free Agent,/8
65,Jack Reed\reedja01,29,NYY,88,48,2,0,-0,3,-2,3,0.3,1,5,0.5,.504,.502,0.1,0.1,1,,Amateur Free Agent,879
66,Earl Robinson\robinea01,25,BAL,29,73,1,0,0,2,-1,3,0.3,2,5,0.5,.512,.502,0.3,0.2,3,,Purchased,9/7
67,Diego Segui\seguidi01,24,KCA,37,36,-1,-0,0,0,4,3,0.3,0,3,0.3,.509,.502,0.3,-0.0,3,,Purchased,1
68,Bill Skowron\skowrbi01,31,NYY,140,524,8,-2,-1,7,-7,5,0.3,16,21,1.9,.504,.503,1.4,-0.2,14,$37500,Amateur Free Agent,*3
69,Russ Snyder*\snyderu01,28,BAL,139,443,6,1,1,1,-5,4,0.3,14,18,1.6,.503,.503,1.6,-0.5,17,,Traded,*798
70,Claude Osteen*\osteecl01,22,WSA,37,49,-3,-0,0,0,6,3,0.3,0,3,0.3,.508,.502,0.3,-0.0,3,,Traded,1
71,Bill Stafford\staffbi01,23,NYY,35,84,-6,-1,0,0,10,3,0.3,0,3,0.3,.509,.502,0.3,-0.0,3,,Amateur Free Agent,1
72,Bernie Allen*\allenbe01,23,MIN,159,646,-6,-0,3,4,4,5,0.2,20,25,2.2,.503,.503,2.0,0.7,21,,Amateur Free Agent,*4
73,Ray Rippelmeyer\rippera01,28,WSA,18,6,2,-0,0,0,1,2,0.2,0,2,0.2,.514,.502,0.2,-0.0,2,,Rule 5 Draft,1
74,Robin Roberts#\roberro01,35,BAL,27,67,-5,-0,0,0,8,3,0.2,0,3,0.2,.510,.502,0.3,-0.0,3,,Free Agency,1
75,Steve Bilko\bilkost01,33,LAA,64,199,8,-2,-1,-0,-2,3,0.2,6,9,0.9,.505,.502,0.9,-0.3,9,,Expansion Draft--premium/minors,3
76,Ron Nischwitz#\nischro01,24,DET,48,12,1,-0,0,0,2,2,0.2,0,2,0.2,.505,.502,0.2,-0.0,2,,Amateur Free Agent,1
77,Bob Sadowski*\sadowbo01,25,CHW,79,145,-2,0,0,4,1,3,0.2,4,7,0.7,.504,.502,0.3,0.4,4,,Traded,54
78,Dom Zanni\zannido01,30,CHW,44,23,-0,0,-0,0,3,2,0.2,0,2,0.2,.506,.501,0.2,-0.0,2,,Traded,1
79,Earl Averill\averiea02,30,LAA,92,233,-0,-0,1,4,-2,3,0.2,7,10,0.9,.503,.502,0.5,0.2,6,,Expansion Draft,7/2
80,Tony Kubek*\kubekto01,26,NYY,45,184,4,-0,-0,-3,2,3,0.2,6,8,0.8,.507,.502,1.1,-0.1,11,,Amateur Free Agent,6/7
81,Tony Oliva*\olivato01,23,MIN,9,12,2,-1,0,0,-0,2,0.2,0,2,0.3,.524,.501,0.2,0.0,2,,Amateur Free Agent,/9
82,George Thomas\thomage01,24,LAA,56,203,-3,-1,0,9,-2,3,0.2,6,9,0.9,.505,.502,0.0,0.6,0,,Purchased,9/87
83,George Alusik\alusige01,27,2TM,92,230,4,1,0,1,-3,3,0.2,7,10,0.9,.503,.502,0.9,-0.3,9,,Amateur Free Agent,
84,Jack Kralick*\kralija01,27,MIN,39,97,-8,-0,-1,0,12,2,0.2,0,2,0.2,.506,.502,0.2,-0.0,2,,Free Agency,1
85,Pedro Ramos#\ramospe01,27,CLE,39,72,-6,-0,0,0,9,2,0.2,0,2,0.2,.506,.501,0.2,-0.0,2,,Traded,1
86,Phil Regan\reganph01,25,DET,35,69,-7,0,0,0,8,2,0.2,0,2,0.2,.507,.501,0.2,-0.0,2,,Amateur Free Agent,1
87,Vic Wertz*\wertzvi01,37,DET,74,112,4,-0,0,-2,-1,2,0.2,3,6,0.5,.503,.502,0.7,-0.3,7,,Waivers,3
88,Dick Hall\halldi01,31,BAL,44,30,-2,0,0,0,4,2,0.2,0,2,0.2,.504,.501,0.2,-0.0,2,,Traded,1
89,Gary Bell\bellga01,25,CLE,57,27,-1,-0,0,0,3,2,0.2,0,2,0.2,.503,.501,0.2,-0.1,2,,Amateur Free Agent,1
90,Marv Breeding\breedma01,28,BAL,95,252,-11,0,2,10,2,3,0.2,8,10,1.0,.503,.502,-0.1,1.2,0,,Amateur Free Agent,4/56
91,Bubba Morton\mortobu01,30,DET,90,228,1,0,0,3,-2,3,0.2,7,10,0.9,.503,.502,0.7,-0.0,7,,Amateur Free Agent,98/37
92,Tom Satriano*\satrito01,21,LAA,10,19,3,-0,-0,-1,0,2,0.2,1,2,0.2,.518,.501,0.3,-0.1,3,,Amateur Free Agent,/5
93,Dick Simpson\simpsdi01,18,LAA,6,11,0,-0,0,2,-0,2,0.2,0,2,0.2,.528,.501,0.0,0.2,0,$2400,Amateur Free Agent,/79
94,Leo Burke\burkele02,28,LAA,19,70,4,-0,-0,-1,-0,2,0.2,2,4,0.4,.510,.501,0.5,-0.2,5,,Purchased,/9576
95,Lenny Green*\greenle01,29,MIN,158,724,4,2,1,3,-5,4,0.1,21,25,2.2,.503,.503,2.1,-0.4,22,,Traded,*87
96,Lee Thomas*\thomale03,26,LAA,160,652,15,-0,-0,-2,-8,4,0.1,20,24,2.2,.502,.502,2.7,-1.3,26,,Traded,3987
97,Art Fowler\fowlear01,39,LAA,48,13,-1,0,0,0,2,1,0.1,0,1,0.1,.503,.501,0.1,-0.0,1,,Purchased,1
98,Juan Pizarro*\pizarju01,25,CHW,37,78,-8,-0,0,0,9,2,0.1,0,2,0.1,.504,.501,0.2,-0.0,2,,Traded,1
