1,Graig Nettles*\nettlgr01,31,NYY,158,657,20,-2,0,27,4,49,5.7,24,73,8.0,.535,.535,5.0,3.6,46,$120000,Traded,*5/6
2,George Brett*\brettge01,23,KCR,159,705,33,2,2,4,4,46,5.2,24,70,7.5,.532,.531,7.1,1.0,65,,Amateur Draft,*5/6
3,Rod Carew*\carewro01,30,MIN,156,687,37,0,1,10,-8,39,4.5,24,63,6.8,.528,.527,5.8,0.2,53,$160000,Amateur Free Agent,*3/4
4,Mark Belanger\belanma01,32,BAL,153,589,3,1,1,24,10,38,4.4,21,59,6.5,.529,.527,3.8,3.9,36,$60000,Amateur Free Agent,*6
5,Mickey Rivers*\rivermi01,27,NYY,137,612,14,8,4,13,-0,38,4.4,21,59,6.4,.531,.526,5.0,1.5,46,,Traded,*8
6,Bobby Grich\grichbo01,27,BAL,144,615,27,3,-1,1,4,34,3.9,22,56,6.1,.527,.524,6.0,0.7,55,,Amateur Draft,*4/5D
7,Sal Bando\bandosa01,32,OAK,158,640,23,1,1,2,4,31,3.5,23,54,5.8,.522,.521,5.6,0.7,51,$80000,Amateur Draft,*5/6D
8,Roy White#\whitero01,32,NYY,156,728,26,3,-1,6,-6,28,3.2,24,51,5.5,.520,.519,4.8,0.0,45,$90000,Amateur Free Agent,*78/9
9,Reggie Jackson*\jacksre01,30,BAL,134,558,34,6,-1,-3,-6,29,3.3,20,49,5.3,.524,.520,5.7,-1.0,52,$200000,Traded,*98D
10,Ron LeFlore\lefloro01,28,DET,135,603,24,6,-0,-2,-0,29,3.3,20,49,5.3,.524,.520,5.5,-0.2,51,,Amateur Free Agent,*8/D
11,Thurman Munson\munsoth01,29,NYY,152,665,18,3,0,-0,5,26,3.0,23,49,5.3,.519,.518,5.3,0.6,50,,Amateur Draft,*2D/97
12,Willie Randolph\randowi01,21,NYY,125,499,4,1,1,19,4,28,3.3,18,46,5.0,.526,.520,2.8,2.7,27,$23000,Traded,*4
13,Hal McRae\mcraeha01,30,KCR,149,609,34,-0,-1,1,-12,21,2.5,22,43,4.6,.516,.515,4.6,-1.3,42,,Traded,*D7
14,Bert Campaneris\campabe01,34,OAK,149,631,-5,4,1,9,9,19,2.3,23,42,4.5,.515,.514,3.5,2.2,33,$72000,Amateur Free Agent,*6
15,Fred Lynn*\lynnfr01,24,BOS,132,566,22,-1,2,-0,-1,22,2.5,20,42,4.5,.518,.515,4.5,-0.1,42,,Amateur Draft,*8/D9
16,Carlton Fisk\fiskca01,28,BOS,134,557,7,-1,-1,6,8,20,2.3,20,40,4.2,.516,.514,3.6,1.7,33,,Amateur Draft,*2/D
17,Larry Hisle\hislela01,29,MIN,155,661,11,-2,1,13,-7,17,2.0,24,40,4.3,.512,.512,2.8,0.8,27,$50000,Traded,*79/8
18,Gene Tenace\tenacge01,29,OAK,128,508,30,-2,-0,-6,0,22,2.5,18,40,4.3,.519,.515,5.0,-0.6,46,$40800,Amateur Draft,32/D
19,Chris Chambliss*\chambch01,27,NYY,156,676,15,0,0,8,-9,15,1.8,24,39,4.1,.511,.510,3.2,-0.0,31,,Traded,*3/D
20,Buddy Bell\bellbu01,24,CLE,159,661,2,-2,1,8,4,12,1.5,24,36,3.8,.509,.509,3.0,1.3,28,,Amateur Draft,*5/3
21,Dwight Evans\evansdw01,24,BOS,146,571,8,-1,1,13,-6,15,1.7,20,35,3.8,.511,.510,2.3,0.9,22,,Amateur Draft,*9/8D
22,Lyman Bostock*\bostoly01,25,MIN,128,517,15,1,-1,1,-0,15,1.8,19,34,3.6,.513,.511,3.5,0.1,33,,Amateur Draft,*8/9
23,Rick Burleson\burleri01,25,BOS,152,616,9,1,-1,-6,10,12,1.4,22,34,3.6,.509,.508,4.3,0.4,40,,Amateur Draft,*6
24,George Scott\scottge02,32,MIL,156,671,14,-2,-3,9,-8,10,1.2,24,34,3.5,.507,.507,2.6,0.1,25,$150000,Traded,*3
25,Toby Harrah\harrato01,27,TEX,155,688,12,-0,-1,-9,9,10,1.2,24,33,3.5,.507,.507,4.6,0.1,43,$100000,Traded,*6/5D
26,Rick Manning*\manniri01,21,CLE,138,606,10,3,2,-2,-0,12,1.5,21,33,3.5,.510,.509,3.8,-0.2,36,$55000,Amateur Draft,*8
27,Don Money\moneydo01,29,MIL,117,498,10,-1,-1,6,2,16,1.8,18,33,3.6,.515,.511,3.0,0.9,28,,Traded,5D/6
28,Ken Singleton#\singlke01,29,BAL,154,630,23,2,-1,-6,-8,10,1.1,23,32,3.4,.507,.507,4.1,-1.6,38,,Traded,*79D
29,Butch Wynegar#\wynegbu01,20,MIN,149,622,7,-1,-2,-2,8,10,1.2,22,32,3.3,.507,.507,3.6,0.7,34,$50000,Amateur Draft,*2D
30,Amos Otis\otisam01,29,KCR,153,665,18,2,-1,-11,-0,7,0.9,23,31,3.2,.505,.505,4.5,-1.3,42,,Traded,*8/D
31,Juan Beniquez\beniqju01,26,TEX,145,526,-12,1,-0,22,-0,11,1.4,19,30,3.2,.509,.508,0.7,2.5,8,,Traded,*8/4
32,Mike Hargrove*\hargrmi01,26,TEX,151,654,21,-2,3,-7,-8,7,0.9,23,30,3.1,.505,.505,3.9,-1.6,37,,Amateur Draft,*3/D
33,Sixto Lezcano\lezcasi01,22,MIL,145,580,11,-0,1,4,-6,9,1.1,21,30,3.1,.507,.506,2.8,-0.2,26,,Amateur Free Agent,*978/D
34,Freddie Patek\patekfr01,31,KCR,144,504,-10,6,1,7,9,12,1.5,18,30,3.2,.510,.509,2.5,1.8,23,,Traded,*6/D
35,Jerry Remy*\remyje01,23,CAL,143,557,-8,0,2,12,4,10,1.2,20,30,3.2,.508,.507,1.9,1.8,18,,Amateur Draft,*4/D
36,Steve Braun*\braunst01,28,MIN,122,491,8,4,2,5,-8,12,1.4,18,29,3.1,.511,.508,2.6,-0.3,24,,Amateur Draft,D75/9
37,Rico Carty\cartyri01,36,CLE,152,628,25,-2,-2,-1,-14,7,0.9,22,29,3.1,.505,.505,3.2,-1.6,30,,Traded,*D3/7
38,Roy Smalley#\smallro02,23,2TM,144,619,2,-3,1,-1,8,7,0.9,22,29,3.0,.506,.505,3.2,0.8,30,,Traded,6
39,Don Baylor\baylodo01,27,OAK,157,685,9,4,-1,0,-9,4,0.6,24,28,2.9,.503,.503,2.9,-1.0,28,$35200,Traded,397D/8
40,Al Bumbry*\bumbral01,29,BAL,133,499,5,6,1,3,-5,10,1.2,18,28,3.0,.509,.507,2.6,-0.2,25,,Amateur Draft,*78D
41,Dan Ford\fordda01,24,MIN,145,571,13,3,0,-3,-6,7,0.9,20,28,2.9,.506,.505,3.3,-1.0,31,$30000,Traded,*9/D
42,Rusty Staub*\staubru01,32,DET,161,690,29,-1,-2,-14,-9,4,0.5,24,28,2.9,.503,.503,4.5,-2.5,42,$145000,Traded,*9D
43,Carl Yastrzemski*\yastrca01,36,BOS,155,636,11,-2,-1,5,-8,6,0.7,23,28,3.0,.504,.504,2.4,-0.3,23,,Amateur Free Agent,37D
44,Phil Garner\garneph01,27,OAK,159,603,6,-1,0,-5,5,5,0.7,22,27,2.8,.504,.504,3.4,-0.0,32,$31000,Amateur Draft,*4
45,Jim Sundberg\sundbji01,25,TEX,140,496,-14,1,-0,14,9,10,1.2,18,27,2.9,.508,.507,1.4,2.6,13,,Amateur Draft,*2
46,Oscar Gamble*\gamblos01,26,NYY,110,384,8,-0,2,5,-4,12,1.4,14,26,2.8,.512,.508,2.2,0.2,20,$75000,Traded,9/D
47,Lee May\mayle01,33,BAL,148,583,13,1,-1,1,-10,5,0.7,21,26,2.7,.504,.504,2.6,-1.0,25,,Traded,3D
48,Bill North#\northbi01,28,OAK,154,675,9,2,1,-10,-1,2,0.3,23,25,2.6,.501,.501,3.7,-1.2,35,,Traded,*8/D9
49,Frank White\whitefr01,25,KCR,152,489,-16,1,2,15,6,8,0.9,18,25,2.7,.506,.505,1.0,2.5,10,,Amateur Free Agent,*46
50,Jack Brohamer*\brohaja01,26,CHW,119,414,-3,-2,-0,11,3,9,1.1,15,24,2.6,.509,.507,1.4,1.7,13,,Traded,*4/5
51,George Hendrick\hendrge01,26,CLE,149,612,17,1,0,-10,-6,2,0.3,22,24,2.5,.502,.501,3.6,-1.8,34,,Traded,*78/D9
52,Jim Rice\riceji01,23,BOS,153,624,14,-1,-2,-1,-9,0,0.1,22,23,2.3,.500,.500,2.5,-1.1,24,$60000,Amateur Draft,7D
53,Joe Rudi\rudijo01,29,OAK,130,558,8,2,-1,0,-6,3,0.5,20,23,2.4,.503,.502,2.4,-0.6,23,$67200,Purchased--voided,*7/38D
54,Dave Collins#\collida02,23,CAL,99,413,5,1,1,4,-4,7,0.8,15,22,2.3,.508,.505,1.8,0.0,17,,Amateur Draft,7D8
55,Brian Downing\downibr01,25,CHW,104,365,2,-1,1,2,5,9,1.1,13,22,2.4,.510,.506,2.2,0.8,20,,Amateur Free Agent,2D
56,Bobby Bonds\bondsbo01,30,CAL,99,427,6,2,0,1,-4,5,0.6,15,20,2.1,.506,.504,2.0,-0.3,19,,Traded,9/8D
57,Rick Miller*\milleri01,28,BOS,105,313,-1,-2,1,14,-2,9,1.1,11,20,2.2,.510,.507,0.6,1.4,6,,Amateur Draft,879/D
58,Tony Solaita*\solaito01,29,2TM,94,329,10,-1,0,5,-5,9,1.0,12,20,2.2,.510,.505,1.6,0.0,15,,Waivers,3/D
59,Larvell Blanks\blankla01,26,CLE,104,371,8,1,-1,-6,5,6,0.7,13,19,2.0,.507,.504,2.8,-0.2,26,,Traded,64/D5
60,Dave Chalk\chalkda01,25,CAL,142,512,-11,1,-2,4,8,0,0.1,18,19,1.9,.500,.500,1.5,1.4,14,,Amateur Draft,65
61,Cecil Cooper*\coopece01,26,BOS,123,483,1,2,1,6,-9,2,0.3,17,19,2.0,.502,.502,1.4,-0.3,14,,Rule 5 returned,3D
62,Mike Cubbage*\cubbami01,25,2TM,118,431,1,-2,0,3,2,4,0.5,15,19,2.0,.504,.504,1.7,0.5,17,,Traded,5/4D
63,Ray Fosse\fossera01,29,CLE,90,300,5,-0,0,-2,5,9,1.0,11,19,2.1,.511,.506,2.3,0.4,21,,Purchased,2/3D
64,Ben Oglivie*\oglivbe01,27,DET,115,325,7,1,-2,3,-3,7,0.9,12,19,2.0,.507,.505,1.6,0.1,15,,Traded,978/3D
65,Jorge Orta*\ortajo01,25,CHW,158,688,10,-0,-0,-9,-5,-5,-0.4,24,19,1.9,.496,.497,2.9,-1.5,28,,Purchased,75D/9
66,Al Cowens\cowenal01,24,KCR,152,616,-9,-2,2,10,-6,-4,-0.4,22,18,1.8,.497,.497,0.6,0.5,7,,Amateur Draft,*98/D
67,Ron Jackson\jacksro02,23,CAL,127,454,-6,-0,-0,6,2,1,0.2,16,18,1.8,.501,.501,1.2,0.9,12,,Amateur Draft,*5/4D79
68,Tom Poquette*\poqueto01,24,KCR,104,381,12,-1,-1,-1,-5,3,0.4,14,17,1.8,.504,.502,1.9,-0.6,18,,Amateur Draft,79/D
69,Bob Randall\randabo01,28,MIN,153,531,-5,-2,2,-2,5,-3,-0.3,19,16,1.6,.498,.498,1.8,0.3,18,,Traded,*4
70,Jim Essian\essiaji01,25,CHW,78,229,-2,-0,-0,5,4,7,0.8,8,15,1.6,.510,.505,1.1,1.0,10,,Traded,2/35
71,Bruce Kimm\kimmbr01,25,DET,63,174,1,-0,0,4,3,9,1.0,6,15,1.6,.516,.506,1.2,0.9,11,,Traded,2/D
72,Jason Thompson*\thompja01,21,DET,123,486,2,-2,1,2,-6,-2,-0.2,17,15,1.5,.498,.499,1.3,-0.4,13,,Amateur Draft,*3
73,Robin Yount\yountro01,20,MIL,161,690,-20,-0,-0,1,10,-9,-0.9,24,15,1.4,.493,.494,1.4,1.3,14,,Amateur Draft,*6/
74,Tom Grieve\grievto01,28,TEX,149,600,4,-0,-2,2,-11,-8,-0.8,22,14,1.3,.494,.495,1.1,-1.0,12,,Free Agency,D7/9
75,Tim Johnson*\johnsti01,26,MIL,105,306,-2,-0,0,1,3,3,0.4,11,14,1.4,.503,.502,1.3,0.5,12,,Traded,45/36
76,John Mayberry*\maybejo01,27,KCR,161,690,-5,-5,0,9,-9,-10,-1.1,24,14,1.3,.493,.493,0.3,0.0,5,,Traded,*3/D
77,Craig Kusick\kusiccr01,27,MIN,109,306,11,0,-0,-1,-9,2,0.2,11,13,1.3,.502,.501,1.5,-1.1,14,,Amateur Free Agent,D3
78,Fred Stanley\stanlfr01,28,NYY,110,306,-4,-1,1,0,6,2,0.3,11,13,1.3,.502,.501,1.3,0.7,13,,Traded,*6/4
79,Bob Stinson#\stinsbo01,30,KCR,79,244,1,1,0,-2,4,4,0.5,9,13,1.4,.506,.503,1.6,0.3,15,,Traded,2
